dates,vol
2021-08-12 12:39:46,22
2021-08-12 12:40:45,22
2021-08-12 12:41:45,22
2021-08-12 12:42:46,22
2021-08-12 12:43:46,22
2021-08-12 12:44:46,22
2021-08-12 12:45:45,22
2021-08-12 12:46:46,22
2021-08-12 12:47:46,22
2021-08-12 12:48:46,22
2021-08-12 12:49:47,22
2021-08-12 12:50:47,22
2021-08-12 12:51:46,22
2021-08-12 12:52:47,22
2021-08-12 12:53:47,22
2021-08-12 12:54:47,22
2021-08-12 12:55:47,21
2021-08-12 12:56:47,20
2021-08-12 12:57:47,20
2021-08-12 12:58:47,21
2021-08-12 12:59:48,21
2021-08-12 13:00:48,21
2021-08-12 13:01:48,20
2021-08-12 13:02:48,20
2021-08-12 13:03:48,20
2021-08-12 13:04:48,20
2021-08-12 13:05:48,20
2021-08-12 13:06:49,20
2021-08-12 13:07:48,20
2021-08-12 13:08:48,20
2021-08-12 13:09:49,20
2021-08-12 13:10:49,20
2021-08-12 13:11:35,20
2021-08-12 13:11:38,20
2021-08-12 13:21:39,20
2021-08-12 13:31:40,20
2021-08-12 13:41:41,20
2021-08-12 13:51:42,20
2021-08-12 14:01:44,20
2021-08-12 14:11:44,20
2021-08-12 14:16:11,20
2021-08-12 14:16:13,20
2021-08-12 14:17:13,19
2021-08-12 14:18:12,19
2021-08-12 14:19:13,19
2021-08-12 14:19:51,18
2021-08-12 14:20:23,20
2021-08-12 14:21:01,20
2021-08-12 14:22:01,18
2021-08-12 14:23:02,20
2021-08-12 14:24:01,20
2021-08-12 14:25:01,20
2021-08-12 14:26:02,20
2021-08-12 14:27:02,20
2021-08-12 14:28:02,21
2021-08-12 14:29:02,19
2021-08-12 14:30:02,19
2021-08-12 14:30:51,19
2021-08-12 14:30:55,19
2021-08-12 14:31:55,18
2021-08-12 14:32:56,18
2021-08-12 14:33:21,18
2021-08-12 14:34:21,20
2021-08-12 14:34:41,19
2021-08-12 14:35:26,18
2021-08-12 14:35:37,18
2021-08-12 14:36:38,18
2021-08-12 14:37:35,18
2021-08-12 14:38:26,19
2021-08-12 14:39:27,18
2021-08-12 14:40:03,18
2021-08-12 14:41:01,18
2021-08-12 14:42:01,19
2021-08-12 14:43:02,18
2021-08-12 14:43:17,19
2021-08-12 14:43:20,19
2021-08-12 14:44:20,19
2021-08-12 14:45:20,19
2021-08-12 14:45:35,19
2021-08-12 14:45:46,18
2021-08-12 14:46:36,18
2021-08-12 14:47:36,17
2021-08-12 14:48:36,18
2021-08-12 14:49:23,20
2021-08-12 14:49:25,20
2021-08-12 14:50:23,20
2021-08-12 15:00:25,20
2021-08-12 15:10:26,20
2021-08-12 15:20:26,20
2021-08-12 15:30:27,20
2021-08-12 15:40:28,20
2021-08-12 15:50:30,20
2021-08-12 16:00:31,20
2021-08-12 16:10:32,20
2021-08-12 16:20:33,20
2021-08-12 16:30:34,20
2021-08-12 16:40:35,20
2021-08-12 16:50:36,20
2021-08-12 17:00:37,20
2021-08-12 17:10:38,20
2021-08-12 17:20:39,20
2021-08-12 17:30:40,20
2021-08-12 17:40:41,20
2021-08-12 17:50:43,20
2021-08-12 18:00:44,20
2021-08-12 18:10:45,20
2021-08-12 18:20:46,20
2021-08-12 18:30:46,20
2021-08-12 18:40:47,20
2021-08-12 18:50:49,20
2021-08-12 19:00:50,20
2021-08-12 19:10:51,20
2021-08-12 19:29:28,0
2021-08-12 19:39:29,0
2021-08-12 19:49:30,0
2021-08-12 19:59:31,0
2021-08-12 20:09:32,0
2021-08-12 20:19:34,0
2021-08-12 20:29:35,0
2021-08-12 20:39:36,0
2021-08-12 20:49:37,0
2021-08-12 20:59:38,0
2021-08-12 21:09:38,0
2021-08-12 21:19:40,0
2021-08-12 21:29:41,0
2021-08-12 21:39:42,0
2021-08-12 21:49:43,0
